tshirt,positive_pant
165862651,161435094
4662075,55713569
166040936,163586581
163654693,165841449
134888995,132247754
42756000,196158534
113425565,104019028
188063046,200028816
141478414,123497080
104005310,105795567
102493603,78096775
173886310,163715283
134563646,19585111
128223083,148374549
88966015,55350048
42530077,38858780
196972691,209951468
146607534,195625682
105107219,203950780
49038257,33180470
67751698,66945001
132696837,103214472
215126967,194623161
145310107,141252789
45211210,51568116
120404159,128216391
155427411,183725260
50983380,51787712
165221416,175348138
180474281,147107506
110578487,116518070
101850216,103707960
158101518,159015519
152194218,191896596
127692388,129535773
216572076,188223203
180666999,160649704
187423248,108245952
95157888,10728032
129809772,134495459
183728186,183804113
112617232,77133423
65805362,69465588
96340121,28912055
61093943,89448847
147320594,98716636
49472694,19371412
99748205,101044521
32613858,10530103
142327388,143885254
143912032,142429692
205120297,202333439
156850470,169372472
109261239,110064229
130960276,142624946
124604395,116299811
105095221,97344258
76993925,82755532
208010864,211706241
191682853,181658221
201121312,200031183
184385812,147036085
140984196,81942184
47768607,44328008
141927799,135784633
125483701,177520261
157909998,148077472
139252516,136909300
90653449,90046343
100665796,85856420
214863770,208690928
146584373,207192948
51275084,63077044
69856330,78075477
131669689,33574207
74560125,63043333
154818430,144803640
189376154,188885513
97136432,99599724
67370795,38022773
101703173,113426449
99196290,116056773
54447357,46139541
143938614,130033407
75844158,75064712
26380537,61545928
109629544,81082995
180360044,182820998
183263977,160211256
94189058,96432307
142276191,141715231
125671550,115584926
55601197,53882541
112419198,118663917
90077889,93816280
173985237,172047598
210204459,210755188
118242955,120658801
214212022,217409535
181602769,166565204
116565642,131001404
40886358,75503261
150919384,61280283
184504092,180718836
137193176,146280210
214159206,157039842
202325005,130185101
77899558,72423530
111889714,110088510
110281367,112033323
43907032,73502502
148970157,149254751
205550874,194551171
202167887,202738792
215865762,203516847
199463157,195340662
158861044,158093120
194384965,192987610
136160165,183941823
207306400,194238095
114846576,117928951
51426587,56557840
201798132,198285987
193693983,196054590
105807222,104074554
12875236,15507079
182085844,211768136
131405641,140005219
198794454,204837602
136495320,139778651
156534674,195286540
104721603,95987869
141854577,164839609
198617253,187329463
147971074,145591623
193089907,191694978
114657083,150920951
71389660,69357481
153270414,159312684
152618974,153087957
116989480,103500571
116271050,112233979
133217355,42874443
179105132,160649704
83011556,71363838
123661854,127195498
168846765,168786176
95257423,103138037
120603770,128976835
147387304,151937864
215588004,209579832
199247512,187797662
165039731,153348829
209285058,210765148
153498575,167679807
167153578,191611314
50174087,52422585
148480150,158689712
164023254,154221758
108086461,117851203
140393304,133534838
16103872,15342919
161207221,176791154
127831038,66945124
115442281,106440605
192534353,192916043
151559104,148490173
152198301,145392550
116488304,109429914
150919517,146263364
85758420,81724265
176820613,181751693
145201440,144747700
96714541,101291474
146610555,2670691
178460505,178824740
111064557,122532047
202398224,200382231
200490412,188545057
144894612,194783721
139061760,132038072
172785637,192794179
189245908,185677686
91295802,83458142
202140231,200191656
179804293,179445814
100331655,103217556
185064378,185889420
101867430,102244015
170548632,105119801
146631450,146342168
120654332,146413151
154038923,151156978
187582894,211768136
86726626,87950703
153715066,142786350
211288503,162879260
155052644,153876682
172142812,179666709
206555757,196985944
132016427,127565539
99594720,29393213
126833223,114124212
165023751,180387593
197493635,196479650
115696210,115279635
51687921,51654574
114635004,124976016
176434306,162223598
109777192,110307360
191755971,203163453
171879207,160834394
66022425,27567366
75820614,114372721
170992500,185339439
94920935,173720436
49364294,48671590
184681498,155591465
90721974,98292075
157020083,165422242
77217661,60736575
117257617,111993521
99133071,110597518
41969776,42154170
125462445,125988232
60393766,38773867
146255637,154111486
200924563,195478793
97295642,97815230
150262938,153316269
126040522,117188567
152220078,120663757
171550135,164322952
157364369,157851550
94789511,85264701
183564058,182683504
165123294,168095048
193355244,178718179
75856895,63291339
139941662,16667704
147987747,140684089
14327851,70813485
129240065,132708379
185174324,213023229
138689743,129288328
140144000,129546009
117144813,145322789
61066913,129865157
129736009,129094218
90152383,75742839
155221830,126986104
77109290,77109264
65863291,67787166
145416972,146778092
79687347,84026731
206239072,205176428
79994793,78692830
207767086,195773055
197467492,189640513
158809792,7109032
59549409,57813148
208672959,213153643
176876774,186661927
76662948,75214434
132773015,119064077
66021764,154208995
146285910,152894223
56904250,61045975
112425250,98311241
217373397,214046531
146627993,182327689
164529145,161004166
148177753,176513337
208735043,204383665
180943349,172070673
165572276,175964003
190134314,188811712
200990395,213434276
65479991,64500608
116067419,102093640
134237550,113067787
208755275,217294904
214408787,214699472
197335167,192402356
65440532,45888184
5496962,6080380
86854068,41301551
130588064,124642456
130286994,149576405
66035952,46320200
170155476,158221423
200478667,202424124
170120901,164788309
110169881,167064961
109403173,106880670
67348443,89084277
147040208,149624572
48513355,48510975
174969719,195094860
68679446,98170074
134751452,83001627
193506756,193464105
131577875,179655318
193217507,189315339
122135952,113164373
207566414,215228157
176469360,163529823
114749638,111248087
194384965,156320556
51952877,32435350
134937737,143926025
104680979,103611599
143075511,110489205
126842292,129865157
125075831,131665789
218445150,207779744
172822673,170597663
201655144,83275061
171722913,169217021
89029261,88862782
78372373,64385355
168383870,170063755
5255785,21498783
177386834,161189500
184504092,142384796
147343253,149537392
177732259,177355923
153720559,158046380
116213180,97869728
104596329,109587881
106635725,113086267
15119604,18159812
147988644,118295431
145863079,144090846
205151084,206194979
62481452,61691281
59608184,50330603
148194618,148934133
107438632,82900142
80494661,79918193
181886442,188977857
137622982,89819283
148604418,153246845
149597485,150190785
139408242,173534427
150716904,153361461
183895239,191554214
209616332,206563993
129192807,139557584
192903091,195250742
126310727,126175771
198553676,184478646
178506946,179820764
182095692,167254818
73832325,75888099
189780908,191280775
150815747,134599721
166724280,166849083
192759413,192216496
47073088,6363933
90845811,89819283
48987946,123247619
213379047,209169231
168717418,178357872
127600360,127475117
40797183,111704139
174341194,169059221
143075511,150497732
176717891,168510370
47533511,53940707
13783722,29393213
100554865,100869854
162863140,188055441
170992500,179318365
132773015,129808398
83644045,74218112
50168222,52914379
154005224,140993761
166925029,167382553
132605433,96954859
217119121,213454710
132076204,112482491
155629665,151870951
7664452,51106564
150081270,150065626
181073690,135614150
156526511,148823416
145115951,158331737
163441612,208187803
134606798,138200188
184492640,179523661
171255261,176513337
184482796,190296581
195524250,144316203
196161325,158878031
93193644,101183010
167191748,137518950
91623696,112812478
112185707,29393213
217789403,213027578
104110671,53933617
191531001,148357584
205571360,191243535
212069794,209917762
73925696,74756028
144582597,145505298
167285145,159084906
142401648,157392672
82217755,78694972
66326044,68475172
176320174,176615892
191599545,210647082
69470973,160595933
179090075,159648172
98306618,110879024
189153033,114895700
158864416,154038005
149637102,120663757
107569068,126486223
189780344,183017788
33772325,88052762
63315361,64778167
188740667,197698109
216766680,212332286
144392699,131023150
130097414,149311724
178848664,174119877
92958533,122727226
56416111,129602045
140489943,137677357
132762406,137611967
63957463,79923126
99560967,96086948
94715894,112217636
81929801,140758990
134498712,160532761
141954088,149181379
194535701,170433926
71300689,70813485
169292702,171330969
95645311,95648888
70707752,144908852
89360901,156768765
150873576,149851280
115519903,128941120
152286325,75888099
208750281,204623384
21770994,59762598
169351124,127379086
190641189,191819376
144213340,149254751
157732328,25484653
199936890,203619077
144392699,145798248
102176894,103671985
156065835,154120790
31156602,52835437
44417365,32541811
207662957,209256617
219530971,214149438
50046158,19403971
205016330,186533183
190880117,191500499
128180996,128660341
216222381,215076105
59812305,105267014
80410390,23594873
47942240,93326740
105547548,112060978
29926268,178336325
215415761,208707094
19774761,128174397
101116484,103014103
161877271,163018149
172482415,172482053
42023783,42875151
50000022,54981189
151516889,151722587
97136432,96714457
146830001,153442867
208675826,195189411
120343934,119494140
66635399,73611746
35988407,43699936
120659890,110064229
114675661,118835862
204853990,157215960
201942111,192316109
170621669,168058984
196855430,200539361
149900531,146805418
78443446,78052905
157767379,157635151
207520684,206918992
129335043,148443910
86756404,85856420
128080519,120977863
157362187,158182390
181725587,185600551
129746216,129050592
140989525,165577263
73832325,74756028
133297186,145121212
104165753,120280960
165084502,179655318
189760692,192088366
215216252,215971321
104357015,99608057
168685492,102295465
160583460,148374549
16092318,40281526
190327595,66092503
108275041,60292137
76662948,67940406
97242318,118422240
141034927,128337961
37621965,71016626
211216458,210269580
79055067,79980870
87782886,124972927
44837574,42547924
152650896,93410652
47884414,96015314
3198861,66087840
166094103,161195639
192832196,190875340
90665568,103033103
55828754,56871148
67275346,53486485
104618265,126395011
104721603,46139541
211542888,194498259
129973759,130442643
218447858,214922833
153397804,149189297
152604667,149558918
63032948,63742272
205276703,205176428
152765885,151974073
64351842,72735841
174139236,163437605
90469014,88825585
186871316,183639308
88819079,130440048
92189940,93492113
183005363,185314980
203960139,202157783
161068303,159469221
219311789,163279242
90047556,75738679
148604044,137569279
211658777,173526848
209172486,203773090
8141004,7885856
199559272,197680571
199260069,196054590
204381258,208531113
75243563,78009409
216153581,212930299
91408778,92647485
68253906,75193283
147460736,68159598
87781040,33574207
112185707,105145223
186065106,186147087
115720983,107385002
195129893,191376423
190376644,176945836
196700471,150094286
125978836,154104445
129798480,148081154
195287064,169109086
147427038,113974815
115987077,113936079
108196062,133327131
146229426,136243487
125836594,119249487
108650937,111528123
138724900,110542767
146543356,140629394
155052644,153468195
191586367,188755008
127773719,83274378
100015289,101236606
168967134,170591436
203479120,194052338
75782959,81527464
215447934,212370292
136031293,152644184
159574720,168448079
170119415,134293639
152606358,150264737
158188886,159084906
184491889,184088588
125586153,150920348
110980823,109759498
193947897,188219068
121788459,40670460
136847699,134293639
204646275,217473729
123610760,132026236
115519903,145534583
71777017,52392005
23506493,66764657
104309050,213620109
99811499,102701744
65389810,67787166
209131479,211150457
109843875,140516181
156411106,151573488
200750356,190829535
169467729,167194695
159362803,14977320
154703013,168530709
94314675,104424691
112747717,112812478
106122146,113653656
119465059,89101715
38122269,64378103
195463250,192909226
117555826,126449207
64281561,67603536
146277717,146279944
150831797,158844884
39384803,79585856
208672965,211583566
166503080,172266286
64366533,59328284
213572854,211542202
206303949,216192053
125150945,92953972
135920207,146326344
136927929,132443164
178079466,174334709
17359765,89340037
105337403,94295183
129343204,127051208
170648634,171793216
165178513,127379157
201932145,202393818
158469786,139348846
204937173,202407552
92147091,79763343
126922508,113257100
130105088,127600341
166334400,166334346
109558339,87337582
161811401,163717342
164919808,191539702
70650982,70666526
117794709,146311588
106159801,197430302
92837342,57813148
146628968,160828770
85212858,54695276
183669106,167449471
124485122,167965987
164341729,164214518
88333032,88400216
116839673,122397715
184578976,156320556
88087513,61274798
174955911,166578517
47636847,43256783
74089757,75361432
193679641,185478477
147705167,133297192
138132343,139289443
172225955,184067316
154832997,174669185
55255418,69307543
163021285,159652568
129686557,181569082
129674567,141079032
168194894,191896596
120163450,110947037
189039383,195071602
198330105,199723857
158778984,121810378
142095923,145216496
161639377,160461274
184579284,66944616
213550414,210435426
93411662,102201458
131899639,76880430
68798967,62965826
86787066,79070305
86700946,57102692
142714674,149494468
153620472,117928951
104496733,141266697
198999552,212728326
196425447,185187558
94648587,93411656
169962089,157196318
52564519,46301278
182423549,177355923
195479303,196425397
203069262,192936165
117807147,111075839
115275733,114719437
180707863,207779744
189440574,169707515
